Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,lin_pack_40-1636668925.3963606,1,0,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875
Transaction,json_150-1636668925.3956,1,0,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144
Transaction,float_150-1636668926.3990633,1,0,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329
Transaction,json_150-1636668926.3981671,1,0,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355
Transaction,aes_40-1636668925.3923945,1,0,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432
Transaction,json_150-1636668927.398966,1,0,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553
Transaction,hello_75-1636668927.4003482,1,0,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686
Transaction,hello_150-1636668927.3943675,1,0,1906,1906,1906,1906,1906,1906,1906,1906,1906,1906,1906,1906,1906,1906,1906
Transaction,json_150-1636668928.6742132,1,0,878,878,878,878,878,878,878,878,878,878,878,878,878,878,878
Transaction,float_150-1636668929.381952,1,0,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
Transaction,gzip_150-1636668925.3948226,1,0,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926
Transaction,hello_150-1636668930.4003177,1,0,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Transaction,cham_100-1636668925.3938916,1,0,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245
Transaction,hello_100-1636668929.402265,1,0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
Transaction,json_100-1636668929.4014838,1,0,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329
Transaction,aes_150-1636668929.4006364,1,0,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923
Transaction,hello_150-1636668931.1612277,1,0,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194
Transaction,hello_150-1636668931.403406,1,0,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
Transaction,hello_40-1636668930.946504,1,0,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311
Transaction,float_150-1636668932.0085852,1,0,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
Transaction,aes_150-1636668930.938533,1,0,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609
Transaction,aes_150-1636668932.0558672,1,0,896,896,896,896,896,896,896,896,896,896,896,896,896,896,896
Transaction,gzip_150-1636668932.407752,1,0,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537
Transaction,aes_150-1636668932.4045131,1,0,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709,1709
Transaction,cham_100-1636668932.40566,1,0,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762
Transaction,json_150-1636668933.1474721,1,0,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159
Transaction,json_75-1636668933.408164,1,0,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443
Transaction,gzip_75-1636668927.396008,1,0,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815
Transaction,aes_100-1636668928.0615625,1,0,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519,7519
Transaction,hello_150-1636668935.4123058,1,0,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329
Transaction,float_75-1636668931.0768402,1,0,4823,4823,4823,4823,4823,4823,4823,4823,4823,4823,4823,4823,4823,4823,4823
Transaction,lin_pack_100-1636668926.3966827,1,0,9734,9734,9734,9734,9734,9734,9734,9734,9734,9734,9734,9734,9734,9734,9734
Transaction,hello_100-1636668935.969459,1,0,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
Transaction,cham_100-1636668934.3491454,1,0,2202,2202,2202,2202,2202,2202,2202,2202,2202,2202,2202,2202,2202,2202,2202
Transaction,cnn_150-1636668926.3950143,1,0,10796,10796,10796,10796,10796,10796,10796,10796,10796,10796,10796,10796,10796,10796,10796
Transaction,lin_pack_150-1636668935.4110482,1,0,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543
Transaction,lin_pack_100-1636668927.3974113,1,0,10579,10579,10579,10579,10579,10579,10579,10579,10579,10579,10579,10579,10579,10579,10579
Transaction,lin_pack_150-1636668935.4146113,1,0,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787
Transaction,lin_pack_75-1636668929.5351245,1,0,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732
Transaction,gzip_75-1636668936.4127128,1,0,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393
Transaction,lin_pack_150-1636668938.5235229,1,0,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Transaction,hello_40-1636668938.3922212,1,0,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639
Transaction,lin_pack_150-1636668936.8747516,1,0,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233
Transaction,cnn_100-1636668932.4344766,1,0,6822,6822,6822,6822,6822,6822,6822,6822,6822,6822,6822,6822,6822,6822,6822
Transaction,cham_100-1636668938.6038523,1,0,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868
Transaction,image_40-1636668926.3932016,1,0,13291,13291,13291,13291,13291,13291,13291,13291,13291,13291,13291,13291,13291,13291,13291
Transaction,float_150-1636668939.5595393,1,0,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Transaction,hello_150-1636668939.5958226,1,0,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Transaction,cnn_100-1636668931.4063847,1,0,8469,8469,8469,8469,8469,8469,8469,8469,8469,8469,8469,8469,8469,8469,8469
Transaction,gzip_40-1636668936.5918736,1,0,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295
Transaction,aes_40-1636668939.25188,1,0,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
Transaction,json_150-1636668940.1405172,1,0,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238
Transaction,float_100-1636668929.756046,1,0,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808
Transaction,float_150-1636668940.5458865,1,0,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
Transaction,dd_100-1636668933.4067085,1,0,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394,7394
Transaction,lin_pack_150-1636668940.8876462,1,0,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
Transaction,json_150-1636668941.4838727,1,0,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
Transaction,video_100-1636668930.4039898,1,0,11543,11543,11543,11543,11543,11543,11543,11543,11543,11543,11543,11543,11543,11543,11543
Transaction,cnn_150-1636668938.9697964,1,0,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255
Transaction,hello_100-1636668942.344648,1,0,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Transaction,float_75-1636668942.3077059,1,0,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741
Transaction,dd_100-1636668934.4103317,1,0,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674
