Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/web/afuerst/default/aes_100,33,0,1900.0,9853.79965800905,653.0519723892212,60019.058109261096,52.696969696969695,0.05503260513313146,0.0,1900,2300,2700,20000,38000,53000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/aes_150,51,0,1300.0,9056.871409601003,684.4881195574999,60039.13037944585,55.09803921568628,0.08505038975120316,0.0,1300,2100,2500,3800,53000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/aes_40,16,0,1700.0,8459.827602957375,742.0849222689867,60024.31217767298,53.5625,0.026682475216063737,0.0,1900,2600,5100,5100,36000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/aes_75,20,0,2300.0,16805.711566004902,645.7956684753299,60044.265509583056,60.05,0.033353094020079674,0.0,2700,4400,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_100,36,0,960.0,14807.374985138369,166.67892131954432,60048.21906797588,4242.166666666667,0.06003556923614341,0.0,970,1600,33000,34000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_150,42,0,410.0,9634.079605363131,167.41183027625084,60031.52097668499,4479.642857142857,0.07004149744216731,0.0,480,1000,1800,11000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_40,13,0,1300.0,15420.31320850723,201.40721648931503,60034.268469549716,3921.923076923077,0.02167951111305179,0.0,1300,4100,5400,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_75,26,0,1100.0,6564.388763517714,155.50988540053368,38819.69690322876,5073.2307692307695,0.04335902222610358,0.0,1100,2600,4200,6700,31000,36000,39000,39000,39000,39000,39000
GET,/api/v1/web/afuerst/default/cnn_100,31,0,2500.0,12950.83817010445,1784.5496870577335,60028.26162241399,70.70967741935483,0.05169729573112349,0.0,2500,5500,9800,12000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cnn_150,66,0,3000.0,17404.024548264162,1750.0822935253382,60037.17327769846,71.95454545454545,0.11006521026626293,0.0,3000,5500,34000,47000,60000,60000,60000,60000,60000,60000,60000
