Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/web/afuerst/default/aes_100,84,0,3000.0,3128.873102200617,511.547077447176,8703.05914990604,51.464285714285715,0.14021302148490816,0.0,3200,4000,4400,4700,5100,6100,7100,8700,8700,8700,8700
GET,/api/v1/web/afuerst/default/aes_150,147,0,740.0,854.7887720965913,496.81905284523964,2775.5938190966845,52.04081632653061,0.24537278759858927,0.0,740,800,860,910,1400,1600,2400,2700,2800,2800,2800
GET,/api/v1/web/afuerst/default/aes_40,38,0,720.0,826.1897520554301,571.6390758752823,2293.983376584947,51.94736842105263,0.06342970019555369,0.0,730,800,840,870,1100,1500,2300,2300,2300,2300,2300
GET,/api/v1/web/afuerst/default/aes_75,63,0,10000.0,29295.99546525805,650.1243766397238,60109.20624341816,65.85714285714286,0.10515976611368112,0.0,10000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_100,105,0,580.0,1054.144533954206,52.41783894598484,14706.026858650148,5073.361904761905,0.1752662768561352,0.0,580,850,1100,1100,1500,2200,7100,11000,15000,15000,15000
GET,/api/v1/web/afuerst/default/cham_150,126,0,700.0,2072.991495353303,84.87872406840324,32014.179936610162,5073.039682539683,0.21031953222736224,0.0,720,1100,1500,1600,2500,5200,30000,31000,32000,32000,32000
GET,/api/v1/web/afuerst/default/cham_40,47,0,680.0,2393.289567565823,271.82452753186226,25824.705000966787,5072.936170212766,0.07845252392607957,0.0,680,1500,1600,1700,2200,18000,26000,26000,26000,26000,26000
GET,/api/v1/web/afuerst/default/cham_75,65,0,680.0,1946.280175490448,201.7764700576663,31991.880295798182,5073.307692307692,0.10849817138713132,0.0,680,1000,1400,1500,2500,3900,29000,32000,32000,32000,32000
GET,/api/v1/web/afuerst/default/cnn_100,80,2,5200.0,5643.994215584826,1938.26821167022,16268.995733000338,68.9625,0.13353621093800777,0.0033384052734501944,5200,6000,6300,6900,8300,11000,14000,16000,16000,16000,16000
GET,/api/v1/web/afuerst/default/cnn_150,140,3,3800.0,16174.964280978644,1861.1310701817274,60058.73008817434,72.86428571428571,0.23368836914151359,0.005007607910175291,3900,5400,11000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cnn_40,30,1,3300.0,6501.122551783919,2271.4462345466018,33772.71646820009,69.53333333333333,0.050076079101752914,0.0016692026367250972,3300,4000,4800,5100,31000,31000,34000,34000,34000,34000,34000
GET,/api/v1/web/afuerst/default/cnn_75,77,3,3300.0,4532.945057461885,2008.6976699531078,43778.56954373419,69.83116883116882,0.12852860302783248,0.005007607910175291,3300,3700,3900,4300,7600,10000,22000,44000,44000,44000,44000
GET,/api/v1/web/afuerst/default/dd_100,96,0,1100.0,3470.205387508031,407.8149562701583,46600.08062329143,142.07291666666666,0.1602434531256093,0.0,1200,1600,2100,2200,3800,31000,44000,47000,47000,47000,47000
GET,/api/v1/web/afuerst/default/dd_150,127,0,2000.0,3218.7306149606043,250.27980748564005,24967.002978548408,141.70866141732284,0.21198873486408734,0.0,2000,2700,3700,4200,5700,10000,23000,23000,25000,25000,25000
GET,/api/v1/web/afuerst/default/dd_40,27,0,400.0,578.9399039069259,291.7156834155321,2792.904943227768,142.0,0.04506847119157762,0.0,400,440,520,570,1100,1700,2800,2800,2800,2800,2800
