Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,lin_pack_40-1636650864.1824505,1,0,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826
Transaction,json_150-1636650864.1816583,1,0,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
Transaction,json_150-1636650865.1845214,1,0,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355
Transaction,aes_40-1636650864.1785157,1,0,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467
Transaction,float_150-1636650865.1859672,1,0,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
Transaction,json_150-1636650866.183513,1,0,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993
Transaction,hello_150-1636650866.1800294,1,0,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757
Transaction,json_150-1636650867.562337,1,0,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434
Transaction,float_150-1636650868.0784209,1,0,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196
Transaction,hello_75-1636650866.1842494,1,0,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290
Transaction,json_40-1636650866.6020133,1,0,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220
Transaction,gzip_150-1636650864.1808748,1,0,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925,4925
Transaction,aes_150-1636650867.181967,1,0,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272
Transaction,hello_100-1636650868.1908183,1,0,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370
Transaction,cham_100-1636650864.1799688,1,0,5533,5533,5533,5533,5533,5533,5533,5533,5533,5533,5533,5533,5533,5533,5533
Transaction,aes_150-1636650867.8024166,1,0,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217
Transaction,json_100-1636650868.1900601,1,0,2249,2249,2249,2249,2249,2249,2249,2249,2249,2249,2249,2249,2249,2249,2249
Transaction,lin_pack_150-1636650869.1132588,1,0,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365
Transaction,hello_150-1636650870.1882155,1,0,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338
Transaction,aes_150-1636650868.1892657,1,0,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437
Transaction,hello_40-1636650869.7192094,1,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Transaction,float_150-1636650870.512486,1,0,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
Transaction,json_100-1636650871.3424652,1,0,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998
Transaction,hello_150-1636650872.1910603,1,0,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
Transaction,gzip_150-1636650871.1930642,1,0,1711,1711,1711,1711,1711,1711,1711,1711,1711,1711,1711,1711,1711,1711,1711
Transaction,cham_100-1636650871.1897597,1,0,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955
Transaction,aes_100-1636650866.778734,1,0,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629,6629
Transaction,json_150-1636650873.1994612,1,0,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281
Transaction,gzip_75-1636650866.1817625,1,0,7532,7532,7532,7532,7532,7532,7532,7532,7532,7532,7532,7532,7532,7532,7532
Transaction,json_75-1636650872.192466,1,0,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981
Transaction,hello_75-1636650873.965582,1,0,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
Transaction,hello_100-1636650874.200476,1,0,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
Transaction,lin_pack_150-1636650874.1977363,1,0,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Transaction,hello_150-1636650874.6458402,1,0,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267
Transaction,lin_pack_100-1636650865.1829405,1,0,9925,9925,9925,9925,9925,9925,9925,9925,9925,9925,9925,9925,9925,9925,9925
Transaction,lin_pack_150-1636650875.5237758,1,0,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267
Transaction,float_75-1636650869.776198,1,0,6287,6287,6287,6287,6287,6287,6287,6287,6287,6287,6287,6287,6287,6287,6287
Transaction,gzip_150-1636650868.3859172,1,0,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682,7682
Transaction,float_75-1636650876.2052898,1,0,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491
Transaction,cnn_150-1636650865.181132,1,0,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566
