Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/web/afuerst/default/aes_100,73,0,1700.0,4910.639994956349,683.3798373118043,38913.3523311466,51.95890410958904,0.12173029027062185,0.0,1700,2400,2900,3800,6200,37000,39000,39000,39000,39000,39000
GET,/api/v1/web/afuerst/default/aes_150,118,0,860.0,1938.8096002877642,465.27577843517065,14531.444766558707,51.728813559322035,0.19676951030045722,0.0,860,1600,2200,2800,5000,6600,8000,13000,15000,15000,15000
GET,/api/v1/web/afuerst/default/aes_40,26,0,1900.0,7760.452180062062,705.7233769446611,60028.99295464158,52.73076923076923,0.043355993795016,0.0,2100,4900,6100,12000,22000,33000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/aes_75,62,0,2200.0,6443.063603804237,686.1747466027737,38291.51532333344,51.38709677419355,0.1033873698188843,0.0,2500,3600,7000,12000,14000,32000,36000,38000,38000,38000,38000
GET,/api/v1/web/afuerst/default/cham_100,83,0,920.0,6603.734210773136,219.07329838722944,60062.63609230518,4952.819277108434,0.13840567249947416,0.0,920,1500,1900,3800,27000,47000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_150,85,0,1300.0,2067.3440259278696,62.17143777757883,17221.38257417828,5073.294117647059,0.1417407489452446,0.0,1300,1700,2100,2400,3600,4700,16000,17000,17000,17000,17000
GET,/api/v1/web/afuerst/default/cham_40,29,0,1900.0,6009.4658577943155,315.9420909360051,29034.231575205922,5072.689655172414,0.04835860846367169,0.0,1900,4400,5400,7600,25000,25000,29000,29000,29000,29000,29000
GET,/api/v1/web/afuerst/default/cham_75,46,0,1400.0,4394.237938498997,441.6017383337021,30465.072591789067,5073.304347826087,0.07670675825272061,0.0,1700,2300,2600,3300,21000,28000,30000,30000,30000,30000,30000
GET,/api/v1/web/afuerst/default/cnn_100,92,5,4000.0,5521.809750378294,1865.6027903780341,28975.51269363612,70.28260869565217,0.15341351650544122,0.008337691114426154,4100,4800,5800,6000,8800,21000,28000,29000,29000,29000,29000
GET,/api/v1/web/afuerst/default/cnn_150,120,6,3700.0,5781.146017617236,2164.5764764398336,40204.84940893948,70.325,0.2001045867462277,0.010005229337311385,3700,4300,4900,5500,11000,25000,33000,37000,40000,40000,40000
GET,/api/v1/web/afuerst/default/cnn_40,22,0,3600.0,9539.93928364732,2200.3510389477015,36449.739972129464,68.13636363636364,0.03668584090347508,0.0,4000,4700,19000,20000,25000,27000,36000,36000,36000,36000,36000
GET,/api/v1/web/afuerst/default/cnn_75,72,2,4200.0,9926.523292566546,2295.2465526759624,59016.05680305511,69.29166666666667,0.12006275204773662,0.0033350764457704615,4500,6300,11000,16000,27000,34000,42000,59000,59000,59000,59000
GET,/api/v1/web/afuerst/default/dd_100,95,0,3000.0,4769.8662402402415,553.7994923070073,32644.472002983093,141.02105263157895,0.15841613117409692,0.0,3000,4000,5000,5600,9300,18000,33000,33000,33000,33000,33000
GET,/api/v1/web/afuerst/default/dd_150,112,0,6900.0,25295.345443941187,689.7456320002675,60034.36823748052,125.5,0.18676428096314585,0.0,7200,45000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/dd_40,29,0,2000.0,8253.912749957164,635.7457619160414,60029.57097440958,139.58620689655172,0.04835860846367169,0.0,2000,4800,7700,13000,31000,31000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/dd_75,54,0,3600.0,17220.594964145374,506.851177662611,60034.06319115311,134.11111111111111,0.09004706403580245,0.0,3600,21000,29000,43000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/float_100,61,0,1700.0,5474.979942908785,53.76661568880081,60024.27288889885,55.19672131147541,0.10171983159599908,0.0,1700,2600,3200,3500,12000,31000,47000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/float_150,115,0,240.0,1306.144008178102,37.373132072389126,31439.31698706001,55.11304347826087,0.19176689563180155,0.0,240,280,500,730,1000,1500,27000,29000,31000,31000,31000
GET,/api/v1/web/afuerst/default/float_40,35,0,940.0,2903.344316168555,137.16997765004635,29903.171123936772,54.714285714285715,0.05836383780098307,0.0,940,2000,2400,3500,8400,18000,30000,30000,30000,30000,30000
GET,/api/v1/web/afuerst/default/float_75,73,0,770.0,1352.9841834934402,23.71177915483713,18940.299016423523,54.917808219178085,0.12173029027062185,0.0,770,1000,1100,1400,2000,5100,8500,19000,19000,19000,19000
GET,/api/v1/web/afuerst/default/gzip_100,57,0,2400.0,6858.834569865282,442.73828994482756,47347.448129206896,89.40350877192982,0.09504967870445816,0.0,2400,3500,5300,6900,26000,38000,40000,47000,47000,47000,47000
GET,/api/v1/web/afuerst/default/gzip_150,96,0,1500.0,2019.3476979523741,578.1057784333825,15782.036573626101,90.26041666666667,0.16008366939698215,0.0,1500,1900,2100,2200,3100,4900,15000,16000,16000,16000,16000
GET,/api/v1/web/afuerst/default/gzip_40,46,0,2000.0,5285.448338492247,439.5579630509019,29718.991107307374,89.71739130434783,0.07670675825272061,0.0,2200,3100,4900,5700,19000,26000,30000,30000,30000,30000,30000
GET,/api/v1/web/afuerst/default/gzip_75,53,0,2100.0,4568.230322597303,584.0201452374458,39901.92309767008,90.33962264150944,0.08837952581291723,0.0,2100,3100,3400,3700,11000,26000,32000,40000,40000,40000,40000
GET,/api/v1/web/afuerst/default/hello_100,70,0,200.0,2254.848456569016,19.57744639366865,32218.841595575213,63.82857142857143,0.11672767560196615,0.0,230,500,1100,1800,4800,18000,23000,32000,32000,32000,32000
GET,/api/v1/web/afuerst/default/hello_150,107,0,240.0,1367.3411748311091,104.7081844881177,38669.09826733172,63.90654205607477,0.1784265898487197,0.0,240,310,480,620,1100,2100,22000,31000,39000,39000,39000
GET,/api/v1/web/afuerst/default/hello_40,36,0,870.0,6320.436318016921,113.86571079492569,46948.55818524957,63.583333333333336,0.06003137602386831,0.0,900,1400,2500,3200,28000,46000,47000,47000,47000,47000,47000
GET,/api/v1/web/afuerst/default/hello_75,55,0,590.0,4153.884384510192,120.8200166001916,60024.45564977825,64.18181818181819,0.09171460225868769,0.0,590,1100,1800,3700,8100,30000,32000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/image_100,53,0,11000.0,17675.23348551103,7044.987661764026,47808.747271075845,50.924528301886795,0.08837952581291723,0.0,11000,20000,24000,27000,36000,42000,44000,48000,48000,48000,48000
GET,/api/v1/web/afuerst/default/image_150,89,0,10000.0,14603.586064180716,6588.2011987268925,60023.46972934902,51.59550561797753,0.14841090183678554,0.0,10000,14000,15000,16000,36000,43000,45000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/image_40,26,0,16000.0,20013.608679390298,7472.370834089816,45327.353939414024,50.73076923076923,0.043355993795016,0.0,18000,22000,33000,33000,40000,43000,45000,45000,45000,45000,45000
GET,/api/v1/web/afuerst/default/image_75,57,0,13000.0,18120.11648588732,6833.349204622209,60030.427475459874,51.54385964912281,0.09504967870445816,0.0,13000,19000,27000,29000,36000,41000,41000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/json_100,73,0,480.0,992.4332154021688,102.27129235863686,11299.794550985098,287.958904109589,0.12173029027062185,0.0,480,740,860,1000,1300,2300,10000,11000,11000,11000,11000
GET,/api/v1/web/afuerst/default/json_150,118,0,450.0,730.5052063775138,175.42891018092632,6368.707531131804,259.0,0.19676951030045722,0.0,450,600,660,790,1200,2800,5400,5600,6400,6400,6400
GET,/api/v1/web/afuerst/default/json_40,32,0,1700.0,5452.544684900204,252.4554394185543,60027.30127796531,259.0625,0.053361223132327384,0.0,1900,3100,4100,5000,11000,32000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/json_75,58,0,660.0,5919.180578857275,190.52620232105255,60030.148001387715,291.9310344827586,0.09671721692734338,0.0,680,1300,1800,2600,18000,49000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/lin_pack_100,63,0,9700.0,27445.63745985192,79.5137481763959,60038.76442462206,99.60317460317461,0.10505490804176953,0.0,9700,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/lin_pack_150,90,0,260.0,841.6002541883952,158.99903792887926,26216.668346896768,107.87777777777778,0.15007844005967078,0.0,260,330,410,650,1100,2100,7400,26000,26000,26000,26000
GET,/api/v1/web/afuerst/default/lin_pack_40,27,0,1300.0,3767.274730666368,129.70010098069906,24856.65206797421,107.81481481481481,0.04502353201790123,0.0,1300,2400,3700,4100,16000,22000,25000,25000,25000,25000,25000
GET,/api/v1/web/afuerst/default/lin_pack_75,73,0,850.0,3242.04424303025,30.155636370182037,38851.76071617752,107.6027397260274,0.12173029027062185,0.0,850,1300,1400,2400,11000,18000,37000,39000,39000,39000,39000
GET,/api/v1/web/afuerst/default/train_100,73,0,20000.0,25496.1465581333,9338.674599304795,60032.36702084541,54.054794520547944,0.12173029027062185,0.0,20000,26000,38000,43000,56000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/train_150,121,0,26000.0,27080.68526285308,8776.795962825418,60025.73242224753,51.64462809917355,0.20177212496911293,0.0,26000,30000,33000,40000,44000,46000,48000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/train_40,21,0,13000.0,26809.37313164274,9625.630816444755,60030.624544247985,55.61904761904762,0.03501830268058984,0.0,13000,30000,44000,46000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/train_75,37,0,25000.0,32051.46648679432,10676.885310560465,60033.10668282211,59.16216216216216,0.061698914246753535,0.0,25000,45000,53000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/video_100,79,0,14000.0,15106.488210160898,6301.546500064433,43381.6846255213,51.265822784810126,0.13173551960793323,0.0,14000,17000,19000,20000,24000,38000,41000,43000,43000,43000,43000
GET,/api/v1/web/afuerst/default/video_150,114,0,46000.0,45708.68963722074,8424.518642015755,60064.91632480174,62.3421052631579,0.19009935740891631,0.0,46000,56000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/video_40,31,0,24000.0,23335.21747111433,6805.609863251448,50362.242221832275,51.064516129032256,0.05169368490944215,0.0,24000,28000,33000,34000,39000,41000,50000,50000,50000,50000,50000
GET,/api/v1/web/afuerst/default/video_75,46,0,23000.0,31018.029838557475,6118.946950882673,60059.11341588944,58.54347826086956,0.07670675825272061,0.0,27000,39000,48000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,3203,13,2700.0,10438.961216332313,19.57744639366865,60064.91632480174,467.3437402435217,5.341124927901394,0.021677996897508,2700,6900,12000,18000,36000,52000,60000,60000,60000,60000,60000
