Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,float_150-1636670915.183533,1,0,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492
Transaction,lin_pack_100-1636670915.1818678,1,0,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511
Transaction,lin_pack_40-1636670914.1808782,1,0,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649
Transaction,aes_40-1636670914.1767962,1,0,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156,3156
Transaction,lin_pack_100-1636670917.1821105,1,0,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229
Transaction,lin_pack_100-1636670916.185567,1,0,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343
Transaction,gzip_75-1636670916.184042,1,0,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427
Transaction,cham_100-1636670914.1783047,1,0,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022
Transaction,aes_150-1636670917.0919957,1,0,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702
Transaction,gzip_150-1636670914.179261,1,0,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660
Transaction,json_40-1636670917.395962,1,0,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797
Transaction,json_100-1636670918.1855013,1,0,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572
Transaction,aes_150-1636670918.1847441,1,0,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808
Transaction,json_150-1636670914.1800673,1,0,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870
Transaction,dd_75-1636670919.03023,1,0,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365
Transaction,aes_150-1636670921.6146429,1,0,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981
Transaction,hello_75-1636670921.1909273,1,0,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524
Transaction,json_100-1636670922.6184096,1,0,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496
Transaction,lin_pack_150-1636670921.782887,1,0,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376
Transaction,cham_100-1636670922.1975815,1,0,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052
Transaction,aes_100-1636670921.1893847,1,0,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247
Transaction,gzip_150-1636670922.1930084,1,0,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491
Transaction,gzip_75-1636670923.1977334,1,0,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567
Transaction,json_150-1636670915.182751,1,0,8643,8643,8643,8643,8643,8643,8643,8643,8643,8643,8643,8643,8643,8643,8643
Transaction,float_75-1636670923.7169566,1,0,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071
Transaction,json_150-1636670924.195121,1,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
Transaction,hello_75-1636670924.2970293,1,0,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
Transaction,lin_pack_150-1636670925.1993694,1,0,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531
Transaction,aes_100-1636670924.196864,1,0,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803
Transaction,lin_pack_40-1636670926.2002654,1,0,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282
Transaction,dd_40-1636670924.6698089,1,0,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
Transaction,gzip_150-1636670918.3328307,1,0,8406,8406,8406,8406,8406,8406,8406,8406,8406,8406,8406,8406,8406,8406,8406
Transaction,float_75-1636670927.2070131,1,0,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
Transaction,image_40-1636670915.178221,1,0,12662,12662,12662,12662,12662,12662,12662,12662,12662,12662,12662,12662,12662,12662,12662
Transaction,image_100-1636670917.1531749,1,0,10914,10914,10914,10914,10914,10914,10914,10914,10914,10914,10914,10914,10914,10914,10914
Transaction,hello_150-1636670916.1825051,1,0,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984
Transaction,video_75-1636670920.1896412,1,0,8501,8501,8501,8501,8501,8501,8501,8501,8501,8501,8501,8501,8501,8501,8501
Transaction,video_100-1636670919.1874106,1,0,9593,9593,9593,9593,9593,9593,9593,9593,9593,9593,9593,9593,9593,9593,9593
Transaction,cham_100-1636670927.8417377,1,0,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109
Transaction,float_100-1636670918.7977924,1,0,10222,10222,10222,10222,10222,10222,10222,10222,10222,10222,10222,10222,10222,10222,10222
Transaction,gzip_150-1636670927.2032638,1,0,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
Transaction,aes_150-1636670928.3939953,1,0,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768
Transaction,video_75-1636670921.1941125,1,0,7989,7989,7989,7989,7989,7989,7989,7989,7989,7989,7989,7989,7989,7989,7989
