Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/web/afuerst/default/aes_100,67,0,1700.0,6273.818831918622,797.4881110712886,45636.58146560192,51.82089552238806,0.1117862983872052,0.0,1700,2200,2600,2700,28000,41000,44000,46000,46000,46000,46000
GET,/api/v1/web/afuerst/default/aes_150,141,0,1000.0,1933.4141294214319,482.1712002158165,30939.493470825255,51.787234042553195,0.23525176227755126,0.0,1000,1300,1600,1900,2400,3100,17000,22000,31000,31000,31000
GET,/api/v1/web/afuerst/default/aes_40,31,0,1600.0,3748.2128756180887,641.6949722915888,28166.07192810625,51.61290322580645,0.05172201865676659,0.0,1600,2400,3100,3300,6600,26000,28000,28000,28000,28000,28000
GET,/api/v1/web/afuerst/default/aes_75,45,0,1000.0,2826.4369255552688,656.1949802562594,35596.71194385737,51.77777777777778,0.07508034966304827,0.0,1000,1400,1700,1800,2100,11000,36000,36000,36000,36000,36000
GET,/api/v1/web/afuerst/default/cham_100,90,0,550.0,2192.361261995716,60.42362563312054,42546.38558719307,5073.3,0.15016069932609655,0.0,550,990,1300,1300,2800,10000,38000,43000,43000,43000,43000
GET,/api/v1/web/afuerst/default/cham_150,110,0,990.0,2575.6897645663807,56.053055450320244,38060.919540934265,5073.336363636364,0.18352974362078467,0.0,1000,1500,1700,2000,3300,15000,27000,28000,38000,38000,38000
GET,/api/v1/web/afuerst/default/cham_40,29,0,1000.0,8650.739494454245,280.6120542809367,42258.60697962344,5073.172413793103,0.04838511422729778,0.0,1000,1400,2400,26000,40000,41000,42000,42000,42000,42000,42000
GET,/api/v1/web/afuerst/default/cham_75,64,0,840.0,4659.6414708474185,139.84829746186733,41494.624530896544,5073.28125,0.106780941743002,0.0,850,1200,1300,1500,22000,29000,31000,41000,41000,41000,41000
GET,/api/v1/web/afuerst/default/cnn_100,66,1,4700.0,22788.429112300615,1987.3383454978466,60042.244019918144,74.6969696969697,0.1101178461724708,0.0016684522147344062,5100,11000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cnn_150,97,3,3000.0,5234.1437099847135,1787.2069347649813,45053.02858538926,69.68041237113403,0.1618398648292374,0.005005356644203218,3000,3400,3800,4300,8900,17000,40000,45000,45000,45000,45000
GET,/api/v1/web/afuerst/default/cnn_40,26,1,2600.0,5066.973474557297,1910.5762979015708,24118.648121133447,69.76923076923077,0.04337975758309456,0.0016684522147344062,2600,2800,4000,7600,14000,15000,24000,24000,24000,24000,24000
